base;tempo;
ns;279.691;
ns;281.193;
ns;279.259;
ns;280.214;
ns;280.214;
ns;279.828;
ns;280.492;
ns;279.881;
ns;280.202;
ns;280.308;
ns;280.241;
ns;279.754;
ns;279.909;
ns;279.732;
ns;279.267;
ns;280.048;
ns;279.592;
ns;279.139;
ns;279.872;
ns;278.738;
ns;279.799;
ns;279.817;
ns;280.954;
ns;278.524;
ns;279.334;
ns;282.927;
ns;280.251;
ns;280.190;
ns;279.767;
ns;279.382;
ns;280.460;
ns;279.700;
ns;280.131;
ns;279.596;
ns;279.478;
ns;279.683;
ns;280.728;
ns;279.607;
ns;279.370;
ns;279.483;
ns;279.464;
ns;281.916;
ns;279.639;
ns;279.195;
ns;283.284;
ns;281.374;
ns;279.339;
ns;279.706;
ns;282.606;
ns;280.581;
np;140.280;
np;139.722;
np;139.855;
np;139.786;
np;143.706;
np;139.482;
np;139.358;
np;139.629;
np;139.580;
np;141.951;
np;138.989;
np;139.349;
np;139.788;
np;140.221;
np;139.311;
np;139.385;
np;139.654;
np;139.478;
np;139.537;
np;139.450;
np;140.309;
np;138.906;
np;139.179;
np;139.408;
np;139.717;
np;139.227;
np;139.915;
np;139.227;
np;139.637;
np;161.743;
np;142.598;
np;139.823;
np;141.463;
np;140.554;
np;140.523;
np;150.022;
np;139.111;
np;138.838;
np;139.866;
np;139.575;
np;139.766;
np;140.691;
np;139.212;
np;141.061;
np;139.856;
np;139.276;
np;141.488;
np;139.077;
np;139.534;
np;139.955;
rs;1323.86;
rs;1375.99;
rs;1365.67;
rs;1374.60;
rs;1381.36;
rs;1362.82;
rs;1374.79;
rs;1374.78;
rs;1374.40;
rs;1369.91;
rs;1375.25;
rs;1365.93;
rs;1376.07;
rs;1360.85;
rs;1369.92;
rs;1373.55;
rs;1374.75;
rs;1374.63;
rs;1374.96;
rs;1377.66;
rs;1378.26;
rs;1371.50;
rs;1366.35;
rs;1359.54;
rs;1358.22;
rs;1366.47;
rs;1374.45;
rs;1361.44;
rs;1372.29;
rs;1376.34;
rs;1360.26;
rs;1364.00;
rs;1366.83;
rs;1383.26;
rs;1369.05;
rs;1372.81;
rs;1374.64;
rs;1366.12;
rs;1375.21;
rs;1361.21;
rs;1375.65;
rs;1357.82;
rs;1373.57;
rs;1377.90;
rs;1359.75;
rs;1378.87;
rs;1361.45;
rs;1367.93;
rs;1383.59;
rs;1358.59;
rp;476.261;
rp;477.432;
rp;479.935;
rp;477.744;
rp;478.857;
rp;478.572;
rp;492.791;
rp;480.319;
rp;479.125;
rp;476.814;
rp;478.738;
rp;480.331;
rp;479.300;
rp;480.701;
rp;482.332;
rp;480.953;
rp;482.104;
rp;480.887;
rp;481.926;
rp;482.305;
rp;480.576;
rp;481.100;
rp;481.768;
rp;481.526;
rp;480.861;
rp;480.492;
rp;481.806;
rp;483.433;
rp;483.709;
rp;481.587;
rp;481.299;
rp;481.294;
rp;482.126;
rp;482.946;
rp;483.632;
rp;482.979;
rp;481.771;
rp;482.371;
rp;483.389;
rp;482.606;
rp;482.869;
rp;480.378;
rp;481.374;
rp;481.127;
rp;481.828;
rp;482.924;
rp;482.462;
rp;481.855;
rp;484.597;
rp;481.247;
